atm_id,bank,operator,latitude,longitude,address,city,district,state,is_24x7,source
OSM-NODE-1845296821,Punjab National Bank,Punjab National Bank,31.301184,75.579888,unknown,Jalandhar,Jalandhar,Punjab,unknown,OpenStreetMap
OSM-NODE-5094962456,ICICI Bank,ICICI,31.316589,75.589165,"22- 23, G T Road, Opposite Kings Hotel, Jawahar Nagar",Jalandhar,Jalandhar,Punjab,unknown,OpenStreetMap
OSM-NODE-5095007519,Syndicate Bank,Syndicate Bank,31.322502,75.576902,"Model Town Rd, Near Passport Office, Near Hotel Sky Lark, Shastri Nagar, Civil Line",Jalandhar,Jalandhar,Punjab,unknown,OpenStreetMap
OSM-NODE-916550345,Punjab National Bank,unknown,30.909005,75.860628,unknown,Ludhiana,Ludhiana,Punjab,unknown,OpenStreetMap
OSM-NODE-2194435660,Union Bank Of  India,unknown,30.914374,75.852146,unknown,Ludhiana,Ludhiana,Punjab,unknown,OpenStreetMap
OSM-NODE-4355006890,Union bank,Union bank,30.900582,75.873984,unknown,Ludhiana,Ludhiana,Punjab,unknown,OpenStreetMap
OSM-NODE-13971678384,Central Bank of India,Central Bank of India,30.92385,75.854159,Daresi Road,Ludhiana,Ludhiana,Punjab,False,OpenStreetMap
OSM-NODE-2592596093,State Bank,State Bank,31.643618,74.876412,unknown,Amritsar,Amritsar,Punjab,unknown,OpenStreetMap
OSM-NODE-4510825889,HDFC Bank,HDFC Bank,31.627023,74.877999,unknown,Amritsar,Amritsar,Punjab,True,OpenStreetMap
OSM-NODE-5478127723,state bank,state bank,31.633416,74.883651,unknown,Amritsar,Amritsar,Punjab,True,OpenStreetMap
OSM-NODE-6618425385,PNB,PNB,31.626153,74.878009,unknown,Amritsar,Amritsar,Punjab,unknown,OpenStreetMap
OSM-NODE-6626664510,unknown,unknown,31.626455,74.878153,unknown,Amritsar,Amritsar,Punjab,unknown,OpenStreetMap
OSM-NODE-6846320851,State Bank of India,State Bank of India,31.625533,74.879801,Mahan Singh Gate Road,Amritsar,Amritsar,Punjab,False,OpenStreetMap
OSM-NODE-11809604387,Bank of India,Bank of India,31.629965,74.873307,unknown,Amritsar,Amritsar,Punjab,unknown,OpenStreetMap
OSM-NODE-11809604389,UCO Bank,UCO Bank,31.629927,74.873335,unknown,Amritsar,Amritsar,Punjab,unknown,OpenStreetMap
OSM-NODE-11810040090,Axis Bank,Axis Bank,31.627454,74.875075,unknown,Amritsar,Amritsar,Punjab,unknown,OpenStreetMap
OSM-NODE-11810040093,Jammu and Kashmir Bank,Jammu and Kashmir Bank,31.626978,74.875722,unknown,Amritsar,Amritsar,Punjab,unknown,OpenStreetMap
OSM-NODE-11810040095,State Bank of India,State Bank of India,31.626495,74.877181,unknown,Amritsar,Amritsar,Punjab,unknown,OpenStreetMap
OSM-NODE-12066244993,unknown,unknown,31.642004,74.866866,unknown,Amritsar,Amritsar,Punjab,unknown,OpenStreetMap
OSM-NODE-1330374711,unknown,unknown,30.335716,76.384768,unknown,Patiala,Patiala,Punjab,unknown,OpenStreetMap
OSM-NODE-3979941615,unknown,unknown,30.354441,76.362042,unknown,Patiala,Patiala,Punjab,unknown,OpenStreetMap
OSM-NODE-4283616202,HDFC Bank,HDFC Bank,30.364629,76.466879,unknown,Patiala,Patiala,Punjab,True,OpenStreetMap
OSM-NODE-4283616204,AXIS Bank,AXIS Bank,30.364884,76.467195,unknown,Patiala,Patiala,Punjab,unknown,OpenStreetMap
OSM-NODE-12201826936,unknown,unknown,30.352642,76.369952,unknown,Patiala,Patiala,Punjab,unknown,OpenStreetMap
OSM-NODE-597104343,State Bank of India,State Bank of India,30.688298,76.803616,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-1849636382,unknown,unknown,30.740917,76.797681,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-2210744171,Canara Bank,Canara Bank,30.743991,76.734047,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-3674995851,Citibank,Citibank,30.74271,76.789558,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-3674999749,Citibank,Citibank,30.704919,76.80103,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-4355014491,HDFC Bank,HDFC Bank,30.734557,76.770079,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-4355014591,sbp,sbp,30.754484,76.770146,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
