complaint_id,complaint_date,complaint_time,amount,bank,transaction_type,fraud_type,city,state,district,complaint_latitude,complaint_longitude,hour,day_of_week,day_name,is_weekend,is_night,amount_category,withdrawal_zone,synthetic_cashout_latitude,synthetic_cashout_longitude
CT000001,2026-09-22,16:05:29,31400.0,Bank of Baroda,UPI,Investment Scam,Noida,Uttar Pradesh,Noida,28.63057878486166,77.29053470438856,16,1,Tuesday,0,0,Medium,Zone_07,28.59657002174501,77.27015693137697
CT000002,2026-05-25,07:32:36,16200.0,Union Bank,UPI,Remote Access,Gurugram,Haryana,Gurugram,28.407434912785238,77.03272096964577,7,0,Monday,0,0,Medium,Zone_08,28.431185106567973,76.96557494360195
CT000003,2025-10-12,19:15:29,37600.0,SBI,UPI,Investment Scam,Ghaziabad,Uttar Pradesh,Ghaziabad,28.635595087650728,77.50515162617256,19,6,Sunday,1,0,Medium,Zone_07,28.614054422881807,77.43209199855406
CT000004,2025-11-17,11:32:43,8900.0,HDFC,UPI,Identity Theft,New Delhi,Delhi,New Delhi,28.570323588340397,77.19733941264383,11,0,Monday,0,0,Low,Zone_07,28.611967140801863,77.23451746113946
CT000005,2026-06-04,22:05:24,86700.0,PNB,NEFT,Phishing,Ludhiana,Punjab,Ludhiana,30.91844839848063,75.84659484130479,22,3,Thursday,0,1,High,Zone_03,30.908119952179682,75.75102367279132
CT000006,2026-05-26,01:53:54,54100.0,ICICI,Debit Card,Remote Access,Jaipur,Rajasthan,Jaipur,26.839732315582147,75.76216637356099,1,1,Tuesday,0,1,High,Zone_10,26.917282696164747,75.71712988244069
CT000007,2026-02-11,16:26:41,33400.0,PNB,UPI,Account Takeover,Noida,Uttar Pradesh,Noida,28.59418958126568,77.4227730775656,16,2,Wednesday,0,0,Medium,Zone_07,28.50992068836926,77.49147239677062
CT000008,2026-05-24,18:06:02,24300.0,PNB,Debit Card,Remote Access,Noida,Uttar Pradesh,Noida,28.52854655322577,77.37111258010455,18,6,Sunday,1,0,Medium,Zone_07,28.497299102882305,77.42963267382132
CT000009,2026-02-08,13:10:10,4300.0,Kotak Mahindra,Debit Card,Phishing,Ludhiana,Punjab,Ludhiana,30.86757178222503,75.83726444133654,13,6,Sunday,1,0,Low,Zone_03,30.92984842087804,75.79784604935223
CT000010,2026-03-21,22:31:17,62600.0,SBI,UPI,Remote Access,Gurugram,Haryana,Gurugram,28.49850269866427,77.02369155672183,22,5,Saturday,1,1,High,Zone_08,28.5651045999373,77.12404757574558
CT000011,2025-12-04,11:21:11,9600.0,ICICI,UPI,Card Fraud,Panipat,Haryana,Panipat,29.38374435053946,76.91190474310531,11,3,Thursday,0,0,Low,Zone_05,29.306289124428282,77.152173699946
CT000012,2026-09-15,01:07:47,16000.0,IndusInd,Debit Card,SIM Swap,Meerut,Uttar Pradesh,Meerut,29.03361230039017,77.71542801569227,1,1,Tuesday,0,1,Medium,Zone_06,29.023611296827873,77.79526920598937
CT000013,2026-05-17,18:44:00,11900.0,ICICI,IMPS,Phishing,New Delhi,Delhi,New Delhi,28.620807176049418,77.11602313160327,18,6,Sunday,1,0,Medium,Zone_08,28.578264031398014,77.19708071659142
CT000014,2026-01-08,15:07:47,15400.0,Axis,UPI,Card Fraud,Ghaziabad,Uttar Pradesh,Ghaziabad,28.656459865696505,77.48095511371052,15,3,Thursday,0,0,Medium,Zone_07,28.60435959338964,77.46765477043424
CT000015,2026-06-03,17:56:22,17800.0,SBI,IMPS,SIM Swap,Gurugram,Haryana,Gurugram,28.47977958550011,77.04201643855866,17,2,Wednesday,0,0,Medium,Zone_08,28.541087568170312,77.08000229660752
CT000016,2026-04-29,15:38:34,116500.0,HDFC,Debit Card,Account Takeover,Amritsar,Punjab,Amritsar,31.66120212684413,74.89419058935343,15,2,Wednesday,0,0,High,Zone_01,31.669075447537516,74.88470062408454
CT000017,2026-01-11,18:36:11,15500.0,Axis,ATM,Phishing,Faridabad,Haryana,Faridabad,28.414337908981075,77.27781630638997,18,6,Sunday,1,0,Medium,Zone_07,28.379236052982655,77.26523767751866
CT000018,2025-11-17,14:03:03,15800.0,ICICI,UPI,SIM Swap,Jalandhar,Punjab,Jalandhar,31.29851589112687,75.61512742201691,14,0,Monday,0,0,Medium,Zone_02,31.399271664864358,75.51445712221853
CT000019,2026-06-05,05:34:58,29500.0,Bank of Baroda,Debit Card,SIM Swap,Ghaziabad,Uttar Pradesh,Ghaziabad,28.738344141630062,77.4535905862995,5,4,Friday,0,1,Medium,Zone_07,28.756054566735276,77.51596656521524
CT000020,2026-02-19,04:15:35,22600.0,PNB,UPI,SIM Swap,New Delhi,Delhi,New Delhi,28.61042470625553,77.24822690975452,4,3,Thursday,0,1,Medium,Zone_07,28.70145731103021,77.22874232297626
CT000021,2026-01-04,01:06:31,32500.0,IndusInd,UPI,Account Takeover,Noida,Uttar Pradesh,Noida,28.513904031853638,77.39377997766772,1,6,Sunday,1,1,Medium,Zone_07,28.58566208130758,77.39119326119676
CT000022,2026-01-05,22:56:49,65000.0,IndusInd,IMPS,Phishing,Ambala,Haryana,Ambala,30.413788019640197,76.79253850551011,22,0,Monday,0,1,High,Zone_04,30.463976529236387,76.80959143559193
CT000023,2025-11-27,22:27:18,13200.0,HDFC,ATM,Loan Scam,Jaipur,Rajasthan,Jaipur,26.935220768200832,75.76790613019277,22,3,Thursday,0,1,Medium,Zone_10,26.89359415373335,75.79662050061712
CT000024,2026-06-11,13:43:01,55400.0,SBI,UPI,UPI Fraud,Meerut,Uttar Pradesh,Meerut,29.0080399906392,77.64341307218231,13,3,Thursday,0,0,High,Zone_06,29.02135970713218,77.77541981794366
CT000025,2026-09-08,18:27:26,18300.0,IndusInd,UPI,Remote Access,Noida,Uttar Pradesh,Noida,28.517998723743148,77.36832067045694,18,1,Tuesday,0,0,Medium,Zone_07,28.603736133631582,77.38078809726086
CT000026,2026-07-06,03:53:12,10900.0,HDFC,UPI,UPI Fraud,Amritsar,Punjab,Amritsar,31.591591928515463,74.88299966038593,3,0,Monday,0,1,Medium,Zone_01,31.750344787619422,74.85406245983658
CT000027,2025-12-19,18:27:02,9100.0,ICICI,NEFT,Account Takeover,Gurugram,Haryana,Gurugram,28.47888744441277,77.0122199487038,18,4,Friday,0,0,Low,Zone_08,28.445832007194333,77.01978745366748
CT000028,2026-08-10,14:19:50,29500.0,SBI,UPI,UPI Fraud,Jalandhar,Punjab,Jalandhar,31.315070308217205,75.53550101959894,14,0,Monday,0,0,Medium,Zone_02,31.25381542678955,75.58557924984704
CT000029,2026-03-25,14:58:47,25800.0,Bank of Baroda,ATM,Remote Access,Ludhiana,Punjab,Ludhiana,30.90405316686625,75.84441383510502,14,2,Wednesday,0,0,Medium,Zone_03,30.87978204082658,75.79795287266037
CT000030,2025-12-30,07:54:14,15500.0,HDFC,Net Banking,UPI Fraud,New Delhi,Delhi,New Delhi,28.670094863328057,77.18202694315369,7,1,Tuesday,0,0,Medium,Zone_07,28.728292153495126,77.24801748070139
CT000031,2026-03-07,13:14:55,26700.0,SBI,UPI,SIM Swap,Noida,Uttar Pradesh,Noida,28.585108740726767,77.39122139203337,13,5,Saturday,1,0,Medium,Zone_07,28.514044952780022,77.48349574208893
CT000032,2026-05-25,09:42:03,11700.0,Axis,ATM,Account Takeover,Jaipur,Rajasthan,Jaipur,26.874392845536192,75.8483479011129,9,0,Monday,0,0,Medium,Zone_10,26.950591426890703,75.7968389633938
CT000033,2026-05-28,00:48:04,73200.0,Bank of Baroda,Debit Card,Card Fraud,Ambala,Haryana,Ambala,30.427484677197416,76.8524140015666,0,3,Thursday,0,1,High,Zone_04,30.390702937456915,76.86082417256989
