withdrawal_zone,count,mean,median,std,min,max,p25,p75,iqr
Zone_01,1241,27625.71,17500.0,66723.66,1200.0,1863092.0,10100.0,31500.0,21400.0
Zone_02,1577,28217.94,18400.0,65188.81,1200.0,2254827.0,10100.0,33700.0,23600.0
Zone_03,1818,29914.69,17750.0,91355.54,1000.0,2339237.0,10000.0,31500.0,21500.0
Zone_04,2592,26782.82,16900.0,44262.95,700.0,1416093.0,9600.0,31600.0,22000.0
Zone_05,764,31402.29,19000.0,89347.03,1700.0,1973638.0,10700.0,34650.0,23950.0
Zone_06,841,30151.65,19800.0,61899.13,1300.0,1413871.0,10800.0,35800.0,25000.0
Zone_07,5436,27324.44,17700.0,54409.73,700.0,2118517.0,10200.0,31500.0,21300.0
Zone_08,4339,30038.21,18500.0,83489.65,500.0,2240303.0,10200.0,32400.0,22200.0
Zone_09,232,27214.66,18450.0,25860.4,1700.0,151800.0,9575.0,35600.0,26025.0
Zone_10,1160,30201.21,18100.0,86468.91,900.0,2072732.0,9900.0,31325.0,21425.0
