city,state,bbox,raw_osm_objects,atm_records,known_bank_operator,unknown_bank_operator,status,notes
Jalandhar,Punjab,"(31.2400, 75.4800, 31.4000, 75.6800)",3,3,3,0,OK,Loaded from local cache (Jalandhar)
Ludhiana,Punjab,"(30.8200, 75.7600, 31.0000, 75.9600)",4,4,4,0,OK,Loaded from local cache (Ludhiana)
Amritsar,Punjab,"(31.5600, 74.7800, 31.7200, 74.9600)",12,12,10,2,OK,Loaded from local cache (Amritsar)
Patiala,Punjab,"(30.2700, 76.3000, 30.4200, 76.4700)",5,5,2,3,OK,Loaded from local cache (Patiala)
Chandigarh,Chandigarh,"(30.6800, 76.7100, 30.8000, 76.8500)",84,84,81,3,OK,Loaded from local cache (Chandigarh)
Ambala,Haryana,"(30.3100, 76.7000, 30.4500, 76.8600)",5,5,4,1,OK,Loaded from local cache (Ambala)
Panipat,Haryana,"(29.3300, 76.9000, 29.4600, 77.0300)",0,0,0,0,NO_OSM_ATMS_FOUND,Loaded from local cache (Panipat)
Gurugram,Haryana,"(28.3700, 76.9300, 28.5300, 77.1200)",119,119,110,9,OK,Loaded from local cache (Gurugram)
Faridabad,Haryana,"(28.3200, 77.2400, 28.4800, 77.3900)",6,6,4,2,OK,Loaded from local cache (Faridabad)
New Delhi,Delhi,"(28.5200, 77.1200, 28.7000, 77.3000)",16,16,13,3,OK,Loaded from local cache (New Delhi)
Noida,Uttar Pradesh,"(28.4600, 77.3000, 28.6200, 77.4800)",1,1,1,0,OK,Loaded from local cache (Noida)
Ghaziabad,Uttar Pradesh,"(28.6000, 77.3600, 28.7500, 77.5300)",1,1,1,0,OK,Loaded from local cache (Ghaziabad)
Meerut,Uttar Pradesh,"(28.9000, 77.6200, 29.0600, 77.7900)",43,43,43,0,OK,Loaded from local cache (Meerut)
Jaipur,Rajasthan,"(26.8200, 75.6900, 27.0200, 75.8900)",32,32,30,2,OK,Loaded from local cache (Jaipur)
Alwar,Rajasthan,"(27.5000, 76.5600, 27.6200, 76.6900)",2,2,2,0,OK,Loaded from local cache (Alwar)
