bank,Zone_01,Zone_02,Zone_03,Zone_04,Zone_05,Zone_06,Zone_07,Zone_08,Zone_09,Zone_10,Total
Axis,146,180,216,283,81,94,561,529,23,117,2230
Bank of Baroda,100,146,140,266,65,91,424,453,13,110,1808
Canara Bank,60,90,94,170,44,44,359,228,9,64,1162
HDFC,191,224,266,382,127,128,812,569,34,193,2926
ICICI,156,194,226,320,97,109,741,499,34,149,2525
IndusInd,75,91,110,152,47,57,392,231,15,65,1235
Kotak Mahindra,94,128,135,168,54,52,350,351,24,81,1437
PNB,121,156,187,236,83,68,492,460,19,122,1944
SBI,227,286,331,439,139,159,973,767,49,201,3571
Union Bank,59,65,95,152,21,34,301,216,9,50,1002
Unknown,12,17,18,24,6,5,31,36,3,8,160
Total,1241,1577,1818,2592,764,841,5436,4339,232,1160,20000
