bank,Zone_01,Zone_02,Zone_03,Zone_04,Zone_05,Zone_06,Zone_07,Zone_08,Zone_09,Zone_10
Axis,6.550000000000001,8.07,9.69,12.690000000000001,3.63,4.22,25.16,23.72,1.03,5.25
Bank of Baroda,5.53,8.08,7.739999999999999,14.71,3.5999999999999996,5.029999999999999,23.45,25.06,0.72,6.08
Canara Bank,5.16,7.75,8.09,14.63,3.7900000000000005,3.7900000000000005,30.9,19.62,0.77,5.510000000000001
HDFC,6.529999999999999,7.66,9.09,13.059999999999999,4.34,4.37,27.750000000000004,19.45,1.16,6.6000000000000005
ICICI,6.18,7.68,8.95,12.67,3.84,4.32,29.349999999999998,19.759999999999998,1.35,5.8999999999999995
IndusInd,6.069999999999999,7.37,8.91,12.31,3.81,4.62,31.740000000000002,18.7,1.21,5.26
Kotak Mahindra,6.54,8.91,9.39,11.690000000000001,3.7600000000000002,3.62,24.36,24.43,1.67,5.64
PNB,6.22,8.02,9.62,12.139999999999999,4.2700000000000005,3.5000000000000004,25.31,23.66,0.98,6.279999999999999
SBI,6.36,8.01,9.27,12.29,3.8899999999999997,4.45,27.250000000000004,21.48,1.37,5.63
Union Bank,5.89,6.49,9.48,15.17,2.1,3.39,30.04,21.560000000000002,0.8999999999999999,4.99
Unknown,7.5,10.620000000000001,11.25,15.0,3.75,3.1199999999999997,19.38,22.5,1.8800000000000001,5.0
