city,complaint_count,atm_count,known_bank_atm_count,unknown_bank_atm_count,coverage_status
New Delhi,3288,16,13,3,GOOD_COVERAGE
Gurugram,1946,119,110,9,GOOD_COVERAGE
Ludhiana,1818,4,4,0,LIMITED_COVERAGE
Faridabad,1610,6,4,2,LIMITED_COVERAGE
Noida,1596,1,1,0,LIMITED_COVERAGE
Jalandhar,1577,3,3,0,LIMITED_COVERAGE
Ghaziabad,1384,1,1,0,LIMITED_COVERAGE
Amritsar,1241,12,10,2,GOOD_COVERAGE
Jaipur,1160,32,30,2,GOOD_COVERAGE
Ambala,998,5,4,1,LIMITED_COVERAGE
Chandigarh,810,84,81,3,GOOD_COVERAGE
Meerut,792,43,43,0,GOOD_COVERAGE
Patiala,784,5,2,3,LIMITED_COVERAGE
Panipat,764,0,0,0,NO_ATM_DATA
Alwar,232,2,2,0,LIMITED_COVERAGE
