city,Zone_01,Zone_02,Zone_03,Zone_04,Zone_05,Zone_06,Zone_07,Zone_08,Zone_09,Zone_10,Total
Alwar,0,0,0,0,0,0,0,0,232,0,232
Ambala,0,0,0,998,0,0,0,0,0,0,998
Amritsar,1241,0,0,0,0,0,0,0,0,0,1241
Chandigarh,0,0,0,810,0,0,0,0,0,0,810
Faridabad,0,0,0,0,0,0,1357,253,0,0,1610
Ghaziabad,0,0,0,0,0,49,1335,0,0,0,1384
Gurugram,0,0,0,0,0,0,2,1944,0,0,1946
Jaipur,0,0,0,0,0,0,0,0,0,1160,1160
Jalandhar,0,1577,0,0,0,0,0,0,0,0,1577
Ludhiana,0,0,1818,0,0,0,0,0,0,0,1818
Meerut,0,0,0,0,0,792,0,0,0,0,792
New Delhi,0,0,0,0,0,0,1166,2122,0,0,3288
Noida,0,0,0,0,0,0,1576,20,0,0,1596
Panipat,0,0,0,0,764,0,0,0,0,0,764
Patiala,0,0,0,784,0,0,0,0,0,0,784
Total,1241,1577,1818,2592,764,841,5436,4339,232,1160,20000
