city,Zone_01,Zone_02,Zone_03,Zone_04,Zone_05,Zone_06,Zone_07,Zone_08,Zone_09,Zone_10
Alwar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Ambala,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Amritsar,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chandigarh,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Faridabad,0.0,0.0,0.0,0.0,0.0,0.0,84.28999999999999,15.709999999999999,0.0,0.0
Ghaziabad,0.0,0.0,0.0,0.0,0.0,3.54,96.46000000000001,0.0,0.0,0.0
Gurugram,0.0,0.0,0.0,0.0,0.0,0.0,0.1,99.9,0.0,0.0
Jaipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Jalandhar,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ludhiana,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meerut,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
New Delhi,0.0,0.0,0.0,0.0,0.0,0.0,35.46,64.53999999999999,0.0,0.0
Noida,0.0,0.0,0.0,0.0,0.0,0.0,98.75,1.25,0.0,0.0
Panipat,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Patiala,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
