feature_name,importance,rank
num__amount,0.168819,1
num__amount_log,0.129751,2
num__hour_sin,0.08959,3
num__hour_cos,0.065781,4
num__hour,0.054686,5
num__day_of_week,0.047013,6
num__day_of_week_cos,0.045197,7
num__day_of_week_sin,0.045036,8
cat__transaction_type_UPI,0.03201,9
cat__fraud_type_Account Takeover,0.026595,10
cat__fraud_type_UPI Fraud,0.026098,11
cat__transaction_type_Debit Card,0.020702,12
cat__bank_ICICI,0.017407,13
cat__transaction_type_IMPS,0.016992,14
cat__fraud_type_Phishing,0.016507,15
cat__fraud_type_Card Fraud,0.015909,16
cat__bank_HDFC,0.014926,17
cat__transaction_type_NEFT,0.013543,18
cat__bank_SBI,0.012469,19
cat__transaction_type_ATM,0.011233,20
cat__fraud_type_Loan Scam,0.010376,21
num__is_weekend,0.010374,22
cat__bank_PNB,0.010032,23
cat__fraud_type_Investment Scam,0.009642,24
cat__bank_Kotak Mahindra,0.009514,25
cat__fraud_type_Identity Theft,0.009466,26
cat__amount_category_Medium,0.008815,27
cat__transaction_type_Net Banking,0.008751,28
cat__bank_Axis,0.008363,29
cat__fraud_type_Remote Access,0.007949,30
cat__bank_Union Bank,0.00705,31
cat__bank_Canara Bank,0.006787,32
num__is_night,0.006121,33
cat__bank_IndusInd,0.004147,34
cat__fraud_type_SIM Swap,0.003789,35
cat__bank_Bank of Baroda,0.003337,36
cat__amount_category_Low,0.002198,37
cat__amount_category_High,0.001964,38
cat__bank_Unknown,0.001059,39
cat__transaction_type_Unknown,0.0,40
cat__amount_category_Very High,0.0,41
