feature_name,importance,rank
num__amount_log,0.182995,1
num__amount,0.169859,2
num__hour_cos,0.082837,3
num__hour_sin,0.06607,4
num__day_of_week_sin,0.065374,5
num__day_of_week,0.048589,6
num__hour,0.044567,7
num__day_of_week_cos,0.028556,8
cat__transaction_type_UPI,0.026085,9
cat__fraud_type_UPI Fraud,0.022326,10
cat__transaction_type_Net Banking,0.020463,11
cat__transaction_type_Debit Card,0.0186,12
cat__transaction_type_NEFT,0.018175,13
cat__fraud_type_Account Takeover,0.017722,14
cat__fraud_type_Remote Access,0.017271,15
cat__transaction_type_ATM,0.016914,16
cat__bank_SBI,0.016334,17
cat__fraud_type_Investment Scam,0.011723,18
cat__fraud_type_Phishing,0.010623,19
cat__fraud_type_Card Fraud,0.01017,20
cat__transaction_type_IMPS,0.009834,21
cat__bank_Bank of Baroda,0.00943,22
cat__bank_Axis,0.008996,23
cat__bank_ICICI,0.008907,24
cat__fraud_type_Identity Theft,0.008779,25
cat__amount_category_Medium,0.008061,26
cat__bank_Kotak Mahindra,0.007855,27
cat__fraud_type_SIM Swap,0.006309,28
num__is_weekend,0.005632,29
cat__amount_category_High,0.00556,30
cat__bank_IndusInd,0.005292,31
cat__bank_Canara Bank,0.004773,32
cat__fraud_type_Loan Scam,0.004313,33
cat__bank_PNB,0.003758,34
cat__bank_Union Bank,0.002461,35
cat__bank_HDFC,0.002402,36
cat__transaction_type_Unknown,0.002384,37
cat__bank_Unknown,0.0,38
num__is_night,0.0,39
cat__amount_category_Low,0.0,40
cat__amount_category_Very High,0.0,41
