feature_name,mean_abs_coefficient,rank
cat__amount_category_Very High,0.272024,1
cat__bank_Unknown,0.222476,2
cat__transaction_type_Unknown,0.213481,3
cat__bank_Bank of Baroda,0.189677,4
cat__bank_Union Bank,0.155206,5
cat__fraud_type_Investment Scam,0.132572,6
cat__bank_Canara Bank,0.130088,7
cat__amount_category_High,0.126992,8
num__is_weekend,0.1199,9
cat__fraud_type_Loan Scam,0.116315,10
cat__fraud_type_SIM Swap,0.113025,11
num__day_of_week,0.111158,12
cat__bank_Kotak Mahindra,0.108966,13
cat__transaction_type_NEFT,0.108912,14
cat__bank_Axis,0.10839,15
cat__amount_category_Medium,0.103839,16
cat__fraud_type_Identity Theft,0.102147,17
cat__transaction_type_IMPS,0.101894,18
num__amount_log,0.098397,19
cat__bank_IndusInd,0.093576,20
cat__amount_category_Low,0.088369,21
cat__transaction_type_Debit Card,0.086394,22
cat__transaction_type_ATM,0.08397,23
cat__fraud_type_Card Fraud,0.083589,24
cat__fraud_type_Remote Access,0.079227,25
cat__transaction_type_Net Banking,0.076837,26
cat__bank_PNB,0.075948,27
cat__fraud_type_UPI Fraud,0.071617,28
cat__fraud_type_Account Takeover,0.069509,29
num__amount,0.066288,30
cat__transaction_type_UPI,0.064796,31
num__day_of_week_cos,0.060276,32
cat__bank_SBI,0.056204,33
cat__fraud_type_Phishing,0.054028,34
num__hour_sin,0.051394,35
num__is_night,0.051184,36
num__hour,0.048905,37
cat__bank_ICICI,0.047523,38
cat__bank_HDFC,0.043866,39
num__hour_cos,0.042938,40
num__day_of_week_sin,0.014515,41
