feature_name,importance,rank
num__amount,0.129942,1
num__amount_log,0.128881,2
num__hour,0.074989,3
num__hour_sin,0.069457,4
num__hour_cos,0.067486,5
num__day_of_week_sin,0.047526,6
num__day_of_week,0.046855,7
num__day_of_week_cos,0.034625,8
cat__transaction_type_UPI,0.023848,9
cat__fraud_type_UPI Fraud,0.0203,10
cat__bank_SBI,0.018011,11
cat__transaction_type_Debit Card,0.017852,12
cat__fraud_type_Account Takeover,0.01675,13
cat__bank_HDFC,0.016715,14
cat__fraud_type_Phishing,0.015932,15
cat__transaction_type_ATM,0.015789,16
cat__bank_ICICI,0.015717,17
cat__fraud_type_Card Fraud,0.015605,18
cat__amount_category_Medium,0.014747,19
cat__transaction_type_Net Banking,0.014684,20
cat__transaction_type_IMPS,0.012848,21
cat__fraud_type_Remote Access,0.012794,22
cat__bank_PNB,0.012371,23
cat__bank_Axis,0.012287,24
cat__bank_Kotak Mahindra,0.012274,25
num__is_weekend,0.012273,26
cat__transaction_type_NEFT,0.011353,27
cat__fraud_type_SIM Swap,0.011101,28
cat__fraud_type_Identity Theft,0.010785,29
num__is_night,0.010663,30
cat__fraud_type_Investment Scam,0.010423,31
cat__amount_category_Low,0.010208,32
cat__bank_Bank of Baroda,0.010007,33
cat__fraud_type_Loan Scam,0.009766,34
cat__bank_IndusInd,0.009476,35
cat__bank_Canara Bank,0.008386,36
cat__amount_category_High,0.007339,37
cat__bank_Union Bank,0.007044,38
cat__bank_Unknown,0.001405,39
cat__transaction_type_Unknown,0.000835,40
cat__amount_category_Very High,0.000651,41
