feature_name,importance,rank
num__amount_log,0.131607,1
num__amount,0.13092,2
num__hour,0.074796,3
num__hour_sin,0.066575,4
num__hour_cos,0.064649,5
num__day_of_week_sin,0.051719,6
num__day_of_week,0.051317,7
num__day_of_week_cos,0.040131,8
cat__transaction_type_UPI,0.024754,9
cat__fraud_type_UPI Fraud,0.019311,10
cat__transaction_type_Debit Card,0.018983,11
cat__transaction_type_ATM,0.015906,12
cat__fraud_type_Phishing,0.015697,13
cat__fraud_type_Account Takeover,0.015531,14
cat__transaction_type_Net Banking,0.015348,15
cat__bank_SBI,0.015309,16
cat__fraud_type_Card Fraud,0.015164,17
cat__amount_category_Medium,0.014297,18
cat__bank_HDFC,0.013969,19
cat__transaction_type_IMPS,0.013537,20
cat__bank_ICICI,0.013408,21
num__is_weekend,0.013115,22
cat__transaction_type_NEFT,0.012599,23
cat__bank_Axis,0.012278,24
cat__fraud_type_Remote Access,0.012115,25
cat__fraud_type_Investment Scam,0.011143,26
cat__fraud_type_SIM Swap,0.010892,27
cat__bank_PNB,0.010633,28
cat__amount_category_Low,0.010089,29
cat__fraud_type_Identity Theft,0.010029,30
cat__bank_Kotak Mahindra,0.009939,31
cat__fraud_type_Loan Scam,0.009892,32
cat__bank_Bank of Baroda,0.009739,33
cat__bank_IndusInd,0.008939,34
cat__bank_Canara Bank,0.008217,35
cat__amount_category_High,0.008098,36
cat__bank_Union Bank,0.007545,37
num__is_night,0.006991,38
cat__transaction_type_Unknown,0.002049,39
cat__bank_Unknown,0.001951,40
cat__amount_category_Very High,0.000819,41
