feature_name,importance,rank
num__complaint_longitude,0.123495,1
num__complaint_latitude,0.10562,2
cat__city_Jalandhar,0.049391,3
cat__district_Panipat,0.048707,4
cat__state_Rajasthan,0.047337,5
cat__city_Panipat,0.045599,6
cat__city_Ludhiana,0.040584,7
cat__district_Ludhiana,0.038142,8
cat__city_Alwar,0.037317,9
cat__city_Meerut,0.037058,10
cat__district_Amritsar,0.036589,11
cat__city_Amritsar,0.035706,12
cat__district_Alwar,0.031502,13
cat__district_Jalandhar,0.030636,14
cat__state_Uttar Pradesh,0.029787,15
cat__district_Jaipur,0.0295,16
cat__city_Jaipur,0.028999,17
cat__state_Punjab,0.027055,18
cat__district_Meerut,0.023574,19
cat__city_Gurugram,0.014711,20
cat__district_Gurugram,0.014236,21
cat__state_Haryana,0.01412,22
cat__district_Ambala,0.010164,23
cat__city_New Delhi,0.010117,24
cat__state_Delhi,0.008679,25
cat__district_Chandigarh,0.00772,26
cat__city_Patiala,0.007192,27
cat__city_Chandigarh,0.007037,28
cat__district_New Delhi,0.0067,29
cat__district_Patiala,0.006628,30
cat__district_Faridabad,0.006387,31
cat__city_Ambala,0.006039,32
cat__city_Noida,0.005412,33
cat__district_Ghaziabad,0.004391,34
cat__district_Noida,0.004032,35
cat__city_Faridabad,0.003919,36
cat__state_Chandigarh,0.003222,37
cat__city_Ghaziabad,0.001747,38
num__amount_log,0.001164,39
num__amount,0.001137,40
num__hour,0.000951,41
num__hour_cos,0.000884,42
num__hour_sin,0.000601,43
num__day_of_week_sin,0.000538,44
num__day_of_week,0.000447,45
num__is_night,0.000366,46
num__day_of_week_cos,0.000331,47
cat__bank_ICICI,0.000265,48
cat__fraud_type_Investment Scam,0.000264,49
cat__bank_Bank of Baroda,0.000238,50
cat__transaction_type_UPI,0.000226,51
cat__bank_HDFC,0.000214,52
cat__bank_Kotak Mahindra,0.000186,53
cat__bank_Axis,0.000185,54
cat__fraud_type_Account Takeover,0.000173,55
cat__fraud_type_Identity Theft,0.000169,56
cat__district_Unknown,0.000167,57
cat__transaction_type_Debit Card,0.000157,58
cat__fraud_type_Card Fraud,0.000155,59
cat__bank_PNB,0.000149,60
cat__amount_category_Medium,0.000143,61
cat__transaction_type_IMPS,0.000141,62
cat__fraud_type_Remote Access,0.000135,63
cat__transaction_type_NEFT,0.000128,64
cat__transaction_type_ATM,0.000124,65
cat__bank_IndusInd,0.000123,66
cat__amount_category_High,0.000123,67
cat__fraud_type_UPI Fraud,0.000121,68
cat__bank_Union Bank,0.000114,69
cat__transaction_type_Net Banking,0.000113,70
num__is_weekend,0.000106,71
cat__fraud_type_SIM Swap,0.000104,72
cat__bank_SBI,0.0001,73
cat__fraud_type_Phishing,9.8e-05,74
cat__amount_category_Low,8.9e-05,75
cat__bank_Canara Bank,6.8e-05,76
cat__fraud_type_Loan Scam,6.4e-05,77
cat__transaction_type_Unknown,5.1e-05,78
cat__bank_Unknown,2.5e-05,79
cat__amount_category_Very High,1.5e-05,80
