feature_name,importance,rank
num__complaint_longitude,0.164972,1
num__complaint_latitude,0.131577,2
cat__city_Jalandhar,0.045212,3
cat__city_Ludhiana,0.044104,4
cat__district_Ludhiana,0.044028,5
cat__state_Punjab,0.041634,6
cat__state_Uttar Pradesh,0.036011,7
cat__city_Gurugram,0.031403,8
cat__city_Amritsar,0.030249,9
cat__district_Jalandhar,0.029574,10
cat__district_Amritsar,0.029133,11
cat__city_Jaipur,0.027704,12
cat__district_Gurugram,0.025879,13
cat__district_Jaipur,0.02575,14
cat__district_Meerut,0.021631,15
cat__state_Rajasthan,0.020833,16
cat__city_Panipat,0.020265,17
cat__city_Meerut,0.017191,18
cat__city_New Delhi,0.014927,19
cat__city_Noida,0.013477,20
cat__district_Panipat,0.013367,21
cat__city_Ambala,0.013185,22
cat__state_Haryana,0.012786,23
cat__city_Faridabad,0.011363,24
cat__district_Ambala,0.009512,25
cat__state_Delhi,0.009458,26
cat__district_New Delhi,0.009047,27
cat__city_Patiala,0.008711,28
cat__state_Chandigarh,0.008478,29
cat__city_Chandigarh,0.007977,30
cat__district_Faridabad,0.007856,31
cat__district_Noida,0.007643,32
cat__district_Patiala,0.007269,33
cat__city_Ghaziabad,0.007239,34
cat__district_Ghaziabad,0.007167,35
cat__district_Chandigarh,0.006612,36
cat__district_Alwar,0.004941,37
cat__city_Alwar,0.004819,38
num__amount,0.003044,39
num__amount_log,0.002829,40
num__hour,0.002337,41
num__hour_cos,0.001945,42
num__hour_sin,0.001628,43
num__day_of_week,0.001179,44
num__day_of_week_sin,0.001081,45
num__day_of_week_cos,0.000877,46
cat__bank_ICICI,0.000686,47
num__is_night,0.000674,48
cat__bank_Bank of Baroda,0.000672,49
cat__fraud_type_Investment Scam,0.000651,50
cat__transaction_type_UPI,0.00054,51
cat__bank_Kotak Mahindra,0.000481,52
cat__fraud_type_Account Takeover,0.000478,53
cat__bank_Axis,0.000441,54
cat__transaction_type_NEFT,0.000433,55
cat__transaction_type_IMPS,0.000424,56
cat__bank_PNB,0.000424,57
cat__fraud_type_UPI Fraud,0.000404,58
cat__amount_category_Medium,0.000402,59
cat__transaction_type_Net Banking,0.000383,60
cat__fraud_type_Card Fraud,0.000378,61
cat__transaction_type_Debit Card,0.000369,62
cat__bank_IndusInd,0.000353,63
cat__bank_HDFC,0.000346,64
cat__fraud_type_Remote Access,0.000315,65
cat__fraud_type_Phishing,0.000309,66
cat__fraud_type_SIM Swap,0.000295,67
cat__amount_category_Low,0.000294,68
cat__transaction_type_ATM,0.000294,69
cat__bank_SBI,0.00029,70
cat__bank_Union Bank,0.000283,71
cat__amount_category_High,0.000279,72
num__is_weekend,0.000272,73
cat__fraud_type_Identity Theft,0.000221,74
cat__bank_Canara Bank,0.000218,75
cat__district_Unknown,0.000202,76
cat__fraud_type_Loan Scam,0.000175,77
cat__transaction_type_Unknown,4.6e-05,78
cat__bank_Unknown,4e-05,79
cat__amount_category_Very High,2.3e-05,80
