fraud_type,Zone_01,Zone_02,Zone_03,Zone_04,Zone_05,Zone_06,Zone_07,Zone_08,Zone_09,Zone_10,Total
Account Takeover,165,206,267,362,129,128,711,659,36,172,2835
Card Fraud,167,214,236,330,86,90,739,515,35,169,2581
Identity Theft,67,99,112,167,39,54,301,277,21,58,1195
Investment Scam,110,124,130,196,60,70,373,407,14,82,1566
Loan Scam,61,104,122,156,43,55,352,252,10,75,1230
Phishing,172,202,236,355,105,116,716,579,32,159,2672
Remote Access,84,139,151,214,60,70,452,315,21,83,1589
SIM Swap,104,139,134,208,55,60,505,323,16,96,1640
UPI Fraud,311,350,430,604,187,198,1287,1012,47,266,4692
Total,1241,1577,1818,2592,764,841,5436,4339,232,1160,20000
