hour,Zone_01,Zone_02,Zone_03,Zone_04,Zone_05,Zone_06,Zone_07,Zone_08,Zone_09,Zone_10,Total
0,28,25,36,49,13,17,114,72,4,16,374
1,23,21,28,40,9,17,92,47,2,21,300
2,9,30,27,32,8,10,66,34,3,13,232
3,10,14,15,24,6,2,54,25,3,10,163
4,7,15,12,21,3,9,46,37,1,7,158
5,11,18,22,30,14,7,50,44,4,12,212
6,16,33,52,50,14,14,98,85,0,21,383
7,35,41,50,77,23,29,139,137,13,25,569
8,42,64,80,115,37,30,214,169,12,50,813
9,59,67,84,120,52,43,295,215,8,68,1011
10,93,78,101,136,32,47,307,269,11,66,1140
11,61,89,98,138,51,42,303,266,10,66,1124
12,86,105,112,159,52,53,306,271,19,72,1235
13,71,101,109,150,46,61,312,281,15,66,1212
14,69,81,89,141,37,41,290,219,13,84,1064
15,66,90,97,130,36,45,266,242,12,52,1036
16,73,85,94,151,46,37,289,230,10,57,1072
17,63,104,86,138,27,51,325,235,14,59,1102
18,76,94,106,177,56,52,331,262,15,65,1234
19,90,89,153,177,42,64,359,327,17,80,1398
20,84,119,133,191,57,52,377,313,14,95,1435
21,66,81,109,141,48,58,350,280,14,64,1211
22,69,95,74,129,36,43,272,187,14,50,969
23,34,38,51,76,19,17,181,92,4,41,553
Total,1241,1577,1818,2592,764,841,5436,4339,232,1160,20000
