experiment_id,model,feature_set,class_weight,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,test_roc_auc_macro,test_roc_auc_weighted,training_time_seconds
logistic_full_none,Logistic Regression,full,None,0.9285,0.003,0.9666,0.9683,0.0017,0.9288,0.9255,0.9643,0.9695,0.9643,0.9664,0.9258,0.9961,0.9907,0.56
logistic_full_balanced,Logistic Regression,full,balanced,0.9255,0.0035,0.9663,0.965,0.0021,0.9256,0.9235,0.9647,0.9657,0.9647,0.9642,0.9236,0.996,0.9905,0.43
logistic_blind_none,Logistic Regression,geographic_blind,None,0.2759,0.0046,0.107,0.0681,0.0016,0.1706,0.2782,0.1081,0.0539,0.1081,0.0688,0.1723,0.4975,0.5131,0.45
logistic_blind_balanced,Logistic Regression,geographic_blind,balanced,0.0828,0.002,0.1028,0.0776,0.0025,0.0978,0.0845,0.0878,0.1032,0.0878,0.075,0.1039,0.4971,0.5119,0.36
knn_full,K-Nearest Neighbors,full,NOT_SUPPORTED,0.9138,0.0027,0.9505,0.9565,0.0031,0.914,0.9085,0.9429,0.96,0.9429,0.9508,0.9089,0.9863,0.9778,0.06
knn_blind,K-Nearest Neighbors,geographic_blind,NOT_SUPPORTED,0.1813,0.0025,0.1006,0.0963,0.0025,0.1702,0.174,0.0942,0.0888,0.0942,0.0895,0.163,0.5025,0.5008,0.04
decision_tree_full_none,Decision Tree,full,None,0.9199,0.0033,0.9632,0.9643,0.0018,0.9202,0.9143,0.9594,0.9648,0.9594,0.9618,0.9146,0.9917,0.9842,0.13
decision_tree_full_balanced,Decision Tree,full,balanced,0.9239,0.0034,0.9655,0.9656,0.0026,0.9241,0.9195,0.9635,0.9654,0.9635,0.9628,0.9195,0.9942,0.9869,0.22
decision_tree_blind_none,Decision Tree,geographic_blind,None,0.2453,0.0052,0.1034,0.0822,0.0022,0.1761,0.247,0.1027,0.0988,0.1027,0.0801,0.1736,0.4933,0.4956,0.12
decision_tree_blind_balanced,Decision Tree,geographic_blind,balanced,0.0711,0.0155,0.0995,0.0668,0.009,0.0667,0.0707,0.0991,0.1056,0.0991,0.0678,0.066,0.4839,0.4976,0.15
random_forest_full_none,Random Forest,full,None,0.927,0.0035,0.9669,0.9678,0.0017,0.9273,0.9235,0.9643,0.9696,0.9643,0.9657,0.9237,0.9956,0.9896,0.36
random_forest_full_balanced,Random Forest,full,balanced,0.9261,0.003,0.9668,0.9675,0.0016,0.9263,0.9223,0.9641,0.9697,0.9641,0.9652,0.9224,0.9958,0.99,0.35
random_forest_blind_none,Random Forest,geographic_blind,None,0.2702,0.0051,0.1051,0.0679,0.0013,0.1686,0.2682,0.104,0.097,0.104,0.0666,0.1655,0.5043,0.5071,0.33
random_forest_blind_balanced,Random Forest,geographic_blind,balanced,0.1578,0.0059,0.1003,0.1,0.006,0.163,0.1472,0.0897,0.0919,0.0897,0.0902,0.1538,0.4881,0.4963,0.31
