complaint_id,city,complaint_latitude,complaint_longitude,actual_zone,predicted_zone,prediction_confidence,prob_zone_07,prob_zone_08,is_correct
CT009088,Noida,28.54630337607114,77.43257970269066,Zone_07,Zone_07,0.9941,0.9941,0.0057,True
CT008281,Gurugram,28.42015087192257,76.948070255845,Zone_08,Zone_08,0.99,0.01,0.99,True
CT006500,New Delhi,28.66156084235063,77.1920207749521,Zone_07,Zone_08,0.6823,0.3176,0.6823,False
CT010858,New Delhi,28.60382716094704,77.18241793023849,Zone_08,Zone_08,0.6154,0.3845,0.6154,True
CT016589,Noida,28.587459713292315,77.34819010011452,Zone_07,Zone_07,0.9619,0.9619,0.0381,True
CT001708,Gurugram,28.479938847683464,77.0318269040118,Zone_08,Zone_08,0.9906,0.0069,0.9906,True
CT008921,Gurugram,28.4442726149208,76.97195700031216,Zone_08,Zone_08,0.9985,0.0015,0.9985,True
CT009823,Faridabad,28.410065318313592,77.35719231194967,Zone_07,Zone_07,0.8096,0.8096,0.1903,True
CT013332,Gurugram,28.470118124275345,77.10781550677245,Zone_08,Zone_08,0.999,0.001,0.999,True
CT009553,New Delhi,28.63061039232862,77.11005455058954,Zone_08,Zone_08,0.6533,0.3466,0.6533,True
CT012062,New Delhi,28.590317003144843,77.24553247112812,Zone_07,Zone_08,0.736,0.2639,0.736,False
CT002655,Gurugram,28.488855169699782,77.08187131757931,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT004204,New Delhi,28.666655055414555,77.27598079683045,Zone_08,Zone_08,0.7164,0.2835,0.7164,True
CT003813,Faridabad,28.435420050999276,77.3983121976395,Zone_08,Zone_07,0.8975,0.8975,0.1025,False
CT016709,New Delhi,28.590276274852737,77.21471211507536,Zone_07,Zone_07,0.5237,0.5237,0.4758,True
CT007551,Ghaziabad,28.629803711077717,77.46803023888322,Zone_07,Zone_07,0.9579,0.9579,0.0,True
CT005426,New Delhi,28.59560668572533,77.18704578848468,Zone_07,Zone_08,0.6069,0.3928,0.6069,False
CT009810,Noida,28.4950532672993,77.43151804737758,Zone_07,Zone_07,0.9927,0.9927,0.0069,True
CT011624,New Delhi,28.70449011315129,77.19521036052708,Zone_07,Zone_08,0.5172,0.4828,0.5172,False
CT004310,New Delhi,28.62807046639141,77.23227086054712,Zone_07,Zone_08,0.7508,0.2489,0.7508,False
CT003278,Faridabad,28.40510591977105,77.32159825899261,Zone_07,Zone_07,0.8052,0.8052,0.1913,True
CT013963,Ghaziabad,28.719153789965706,77.50688017948455,Zone_07,Zone_07,0.9854,0.9854,0.0,True
CT001833,Gurugram,28.507785195736293,77.01048514217833,Zone_08,Zone_08,0.981,0.0172,0.981,True
CT008639,Faridabad,28.40328570117534,77.34599766821032,Zone_07,Zone_07,0.8603,0.8603,0.1396,True
CT007172,Faridabad,28.4508842089984,77.3217746809584,Zone_07,Zone_07,0.8195,0.8195,0.1804,True
CT007097,Gurugram,28.44814024860408,77.03851983830103,Zone_08,Zone_08,0.9965,0.0035,0.9965,True
CT016127,Ghaziabad,28.65878021738188,77.42044545805665,Zone_07,Zone_07,0.981,0.981,0.0006,True
CT000783,Gurugram,28.47966433571265,77.02097185622847,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT009681,Faridabad,28.36117336567236,77.33769601784752,Zone_07,Zone_07,0.8519,0.8519,0.1481,True
CT004975,New Delhi,28.59211266500556,77.27246566822268,Zone_08,Zone_07,0.5347,0.5347,0.4652,False
CT013719,New Delhi,28.64799852378702,77.19342469594443,Zone_08,Zone_08,0.6018,0.3981,0.6018,True
CT010507,New Delhi,28.69461985079121,77.19298943527211,Zone_08,Zone_08,0.5568,0.443,0.5568,True
CT007600,New Delhi,28.636197261499465,77.16127630304383,Zone_07,Zone_08,0.6812,0.3178,0.6812,False
CT013203,Faridabad,28.38902090291687,77.29062823595778,Zone_08,Zone_07,0.8248,0.8248,0.1752,False
CT004078,Faridabad,28.412389537868908,77.40063392460631,Zone_08,Zone_07,0.8096,0.8096,0.187,False
CT007860,Noida,28.542411201382187,77.3350398373431,Zone_07,Zone_07,0.9941,0.9941,0.0058,True
CT005027,Gurugram,28.354048491840302,77.00475729904043,Zone_08,Zone_08,0.9974,0.0026,0.9974,True
CT005141,New Delhi,28.634689044639316,77.15761889825707,Zone_08,Zone_08,0.5327,0.4672,0.5327,True
CT000867,Ghaziabad,28.58610710580505,77.49041773474882,Zone_07,Zone_07,0.9598,0.9598,0.0,True
CT017931,Gurugram,28.521538199059584,77.00681057462108,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT004522,Gurugram,28.47202814024218,77.08502273023205,Zone_08,Zone_08,0.9887,0.0101,0.9887,True
CT013839,Faridabad,28.40738639704127,77.29416524501795,Zone_08,Zone_07,0.869,0.869,0.1309,False
CT000505,Faridabad,28.44334155857949,77.25734927292994,Zone_07,Zone_07,0.8216,0.8216,0.1784,True
CT013468,New Delhi,28.57478337548376,77.23905791745543,Zone_08,Zone_08,0.5755,0.4245,0.5755,True
CT014283,Noida,28.55740925972089,77.38027268744203,Zone_07,Zone_07,0.9902,0.9902,0.0097,True
CT009416,Faridabad,28.44839371753413,77.36267210364883,Zone_07,Zone_07,0.8002,0.8002,0.1997,True
CT004401,Noida,28.557962444413445,77.47761703507695,Zone_07,Zone_07,0.9725,0.9725,0.0275,True
CT007504,Gurugram,28.47873813040904,76.94952904510295,Zone_08,Zone_08,0.9946,0.0037,0.9946,True
CT009664,Ghaziabad,28.67991011516038,77.47210151378859,Zone_07,Zone_07,0.9667,0.9667,0.0,True
CT010407,Noida,28.4979465307347,77.38284635344924,Zone_07,Zone_07,0.9899,0.9899,0.0096,True
CT019595,Faridabad,28.402336657361904,77.30893790675674,Zone_07,Zone_07,0.7903,0.7903,0.2097,True
CT004626,New Delhi,28.55804871164377,77.2537380947023,Zone_08,Zone_08,0.6666,0.3331,0.6666,True
CT013079,New Delhi,28.637914927841923,77.13498193157253,Zone_08,Zone_08,0.6843,0.3157,0.6843,True
CT005339,Ghaziabad,28.689348682927104,77.47285197913914,Zone_07,Zone_07,0.9616,0.9616,0.0043,True
CT003635,New Delhi,28.59118310619995,77.22733920219237,Zone_08,Zone_08,0.6101,0.3898,0.6101,True
CT009719,Ghaziabad,28.771301561779072,77.4622044288818,Zone_07,Zone_07,0.9673,0.9673,0.0,True
CT014189,New Delhi,28.608322889895756,77.22722421677919,Zone_08,Zone_08,0.7469,0.2506,0.7469,True
CT010970,Gurugram,28.43669933659011,77.01781530489512,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT005653,New Delhi,28.602543984677386,77.18445646623516,Zone_08,Zone_08,0.6268,0.373,0.6268,True
CT009081,Gurugram,28.46728658490941,77.06717017639644,Zone_08,Zone_08,0.9949,0.0051,0.9949,True
CT006659,Noida,28.58100144279348,77.40238806346835,Zone_07,Zone_07,0.998,0.998,0.0019,True
