model_id,model_name,feature_set,class_weight,macro_f1,balanced_accuracy,macro_precision,macro_recall,weighted_f1,accuracy,roc_auc_macro,roc_auc_weighted,zone_09_recall,zone_07_recall,zone_08_recall,cv_test_macro_f1_gap,probability_output_available,training_time_seconds,inference_efficiency
logistic_full_none,Logistic Regression,full,None,0.9664,0.9643,0.9695,0.9643,0.9258,0.9255,0.9961,0.9907,1.0,0.8252,0.8894,0.0019,True,0.56,High (< 0.1s)
logistic_full_balanced,Logistic Regression,full,balanced,0.9642,0.9647,0.9657,0.9647,0.9236,0.9235,0.996,0.9905,1.0,0.7921,0.9205,0.0008,True,0.43,High (< 0.1s)
logistic_blind_none,Logistic Regression,geographic_blind,None,0.0688,0.1081,0.0539,0.1081,0.1723,0.2782,0.4975,0.5131,0.0,0.7994,0.2811,-0.0007,True,0.45,High (< 0.1s)
logistic_blind_balanced,Logistic Regression,geographic_blind,balanced,0.075,0.0878,0.1032,0.0878,0.1039,0.0845,0.4971,0.5119,0.1304,0.1058,0.0818,0.0026,True,0.36,High (< 0.1s)
knn_full,K-Nearest Neighbors,full,NOT_SUPPORTED,0.9508,0.9429,0.96,0.9429,0.9089,0.9085,0.9863,0.9778,0.8913,0.827,0.8249,0.0057,True,0.06,Moderate (~0.2s)
knn_blind,K-Nearest Neighbors,geographic_blind,NOT_SUPPORTED,0.0895,0.0942,0.0888,0.0942,0.163,0.174,0.5025,0.5008,0.0,0.3431,0.2051,0.0068,True,0.04,Moderate (~0.2s)
decision_tree_full_none,Decision Tree,full,None,0.9618,0.9594,0.9648,0.9594,0.9146,0.9143,0.9917,0.9842,1.0,0.8132,0.8525,0.0025,True,0.13,High (< 0.1s)
decision_tree_full_balanced,Decision Tree,full,balanced,0.9628,0.9635,0.9654,0.9635,0.9195,0.9195,0.9942,0.9869,1.0,0.7663,0.9343,0.0028,True,0.22,High (< 0.1s)
decision_tree_blind_none,Decision Tree,geographic_blind,None,0.0801,0.1027,0.0988,0.1027,0.1736,0.247,0.4933,0.4956,0.0,0.7001,0.2051,0.0021,True,0.12,High (< 0.1s)
decision_tree_blind_balanced,Decision Tree,geographic_blind,balanced,0.0678,0.0991,0.1056,0.0991,0.066,0.0707,0.4839,0.4976,0.0652,0.0239,0.0334,-0.001,True,0.15,High (< 0.1s)
random_forest_full_none,Random Forest,full,None,0.9657,0.9643,0.9696,0.9643,0.9237,0.9235,0.9956,0.9896,1.0,0.7875,0.9274,0.0021,True,0.36,Moderate (~0.2s)
random_forest_full_balanced,Random Forest,full,balanced,0.9652,0.9641,0.9697,0.9641,0.9224,0.9223,0.9958,0.99,1.0,0.7728,0.9401,0.0023,True,0.35,Moderate (~0.2s)
random_forest_blind_none,Random Forest,geographic_blind,None,0.0666,0.104,0.097,0.104,0.1655,0.2682,0.5043,0.5071,0.0,0.793,0.2385,0.0013,True,0.33,Moderate (~0.2s)
random_forest_blind_balanced,Random Forest,geographic_blind,balanced,0.0902,0.0897,0.0919,0.0897,0.1538,0.1472,0.4881,0.4963,0.0,0.2346,0.2177,0.0098,True,0.31,Moderate (~0.2s)
