model_id,cv_macro_f1_mean,cv_macro_f1_std,test_macro_f1,generalization_gap,stability_note
logistic_full_none,0.9683,0.0017,0.9664,0.0019,"Highly Stable (std < 0.003, gap < 0.005)"
logistic_full_balanced,0.965,0.0021,0.9642,0.0008,"Highly Stable (std < 0.003, gap < 0.005)"
logistic_blind_none,0.0681,0.0016,0.0688,-0.0007,"Highly Stable (std < 0.003, gap < 0.005)"
logistic_blind_balanced,0.0776,0.0025,0.075,0.0026,"Highly Stable (std < 0.003, gap < 0.005)"
knn_full,0.9565,0.0031,0.9508,0.0057,Stable (gap < 0.010)
knn_blind,0.0963,0.0025,0.0895,0.0068,Stable (gap < 0.010)
decision_tree_full_none,0.9643,0.0018,0.9618,0.0025,"Highly Stable (std < 0.003, gap < 0.005)"
decision_tree_full_balanced,0.9656,0.0026,0.9628,0.0028,"Highly Stable (std < 0.003, gap < 0.005)"
decision_tree_blind_none,0.0822,0.0022,0.0801,0.0021,"Highly Stable (std < 0.003, gap < 0.005)"
decision_tree_blind_balanced,0.0668,0.009,0.0678,-0.001,Stable (gap < 0.010)
random_forest_full_none,0.9678,0.0017,0.9657,0.0021,"Highly Stable (std < 0.003, gap < 0.005)"
random_forest_full_balanced,0.9675,0.0016,0.9652,0.0023,"Highly Stable (std < 0.003, gap < 0.005)"
random_forest_blind_none,0.0679,0.0013,0.0666,0.0013,"Highly Stable (std < 0.003, gap < 0.005)"
random_forest_blind_balanced,0.1,0.006,0.0902,0.0098,Stable (gap < 0.010)
