model_id,withdrawal_zone,TP,FP,FN,precision,recall,f1_score,support
logistic_full_none,Zone_01,248,0,0,1.0,1.0,1.0,248
logistic_full_none,Zone_02,315,0,0,1.0,1.0,1.0,315
logistic_full_none,Zone_03,364,0,0,1.0,1.0,1.0,364
logistic_full_none,Zone_04,519,0,0,1.0,1.0,1.0,519
logistic_full_none,Zone_05,153,0,0,1.0,1.0,1.0,153
logistic_full_none,Zone_06,156,0,12,1.0,0.9286,0.963,168
logistic_full_none,Zone_07,897,108,190,0.8925,0.8252,0.8575,1087
logistic_full_none,Zone_08,772,190,96,0.8025,0.8894,0.8437,868
logistic_full_none,Zone_09,46,0,0,1.0,1.0,1.0,46
logistic_full_none,Zone_10,232,0,0,1.0,1.0,1.0,232
logistic_full_balanced,Zone_01,248,0,0,1.0,1.0,1.0,248
logistic_full_balanced,Zone_02,315,0,0,1.0,1.0,1.0,315
logistic_full_balanced,Zone_03,364,0,0,1.0,1.0,1.0,364
logistic_full_balanced,Zone_04,519,0,0,1.0,1.0,1.0,519
logistic_full_balanced,Zone_05,153,0,0,1.0,1.0,1.0,153
logistic_full_balanced,Zone_06,157,7,11,0.9573,0.9345,0.9458,168
logistic_full_balanced,Zone_07,861,80,226,0.915,0.7921,0.8491,1087
logistic_full_balanced,Zone_08,799,219,69,0.7849,0.9205,0.8473,868
logistic_full_balanced,Zone_09,46,0,0,1.0,1.0,1.0,46
logistic_full_balanced,Zone_10,232,0,0,1.0,1.0,1.0,232
logistic_blind_none,Zone_01,0,0,248,0.0,0.0,0.0,248
logistic_blind_none,Zone_02,0,0,315,0.0,0.0,0.0,315
logistic_blind_none,Zone_03,0,0,364,0.0,0.0,0.0,364
logistic_blind_none,Zone_04,0,0,519,0.0,0.0,0.0,519
logistic_blind_none,Zone_05,0,0,153,0.0,0.0,0.0,153
logistic_blind_none,Zone_06,0,0,168,0.0,0.0,0.0,168
logistic_blind_none,Zone_07,869,2164,218,0.2865,0.7994,0.4218,1087
logistic_blind_none,Zone_08,244,723,624,0.2523,0.2811,0.2659,868
logistic_blind_none,Zone_09,0,0,46,0.0,0.0,0.0,46
