confidence_bin,prediction_count,accuracy,average_confidence,calibration_status
0.0-0.1,0,0.0,0.0,Raw uncalibrated model probability diagnostic
0.1-0.2,0,0.0,0.0,Raw uncalibrated model probability diagnostic
0.2-0.3,0,0.0,0.0,Raw uncalibrated model probability diagnostic
0.3-0.4,0,0.0,0.0,Raw uncalibrated model probability diagnostic
0.4-0.5,0,0.0,0.0,Raw uncalibrated model probability diagnostic
0.5-0.6,156,0.5128,0.5578,Raw uncalibrated model probability diagnostic
0.6-0.7,371,0.6523,0.6532,Raw uncalibrated model probability diagnostic
0.7-0.8,208,0.7404,0.7424,Raw uncalibrated model probability diagnostic
0.8-0.9,250,0.876,0.8483,Raw uncalibrated model probability diagnostic
0.9-1.0,3015,0.9947,0.9919,Raw uncalibrated model probability diagnostic
