model_id,subgroup_type,subgroup,sample_count,accuracy,recall,notes
random_forest_full_none,city,Alwar,46,1.0,1.0,Small sample size (20-49)
random_forest_full_none,city,Ambala,199,1.0,1.0,Reliable sample size (>= 20)
random_forest_full_none,city,Amritsar,248,1.0,1.0,Reliable sample size (>= 20)
random_forest_full_none,city,Chandigarh,158,1.0,1.0,Reliable sample size (>= 20)
random_forest_full_none,city,Faridabad,313,0.8435,0.8435,Reliable sample size (>= 20)
random_forest_full_none,city,Ghaziabad,283,0.9576,0.9576,Reliable sample size (>= 20)
random_forest_full_none,city,Gurugram,398,1.0,1.0,Reliable sample size (>= 20)
random_forest_full_none,city,Jaipur,232,1.0,1.0,Reliable sample size (>= 20)
random_forest_full_none,city,Jalandhar,315,1.0,1.0,Reliable sample size (>= 20)
random_forest_full_none,city,Ludhiana,364,1.0,1.0,Reliable sample size (>= 20)
random_forest_full_none,city,Meerut,156,1.0,1.0,Reliable sample size (>= 20)
random_forest_full_none,city,New Delhi,668,0.6377,0.6377,Reliable sample size (>= 20)
random_forest_full_none,city,Noida,305,0.9902,0.9902,Reliable sample size (>= 20)
random_forest_full_none,city,Panipat,153,1.0,1.0,Reliable sample size (>= 20)
random_forest_full_none,city,Patiala,162,1.0,1.0,Reliable sample size (>= 20)
random_forest_full_none,rail,ATM,478,0.931,0.931,Reliable sample size (>= 20)
random_forest_full_none,rail,Debit Card,705,0.9305,0.9305,Reliable sample size (>= 20)
random_forest_full_none,rail,IMPS,385,0.9299,0.9299,Reliable sample size (>= 20)
random_forest_full_none,rail,NEFT,342,0.9327,0.9327,Reliable sample size (>= 20)
random_forest_full_none,rail,Net Banking,492,0.9065,0.9065,Reliable sample size (>= 20)
random_forest_full_none,rail,UPI,1573,0.9193,0.9193,Reliable sample size (>= 20)
random_forest_full_none,modus_operandi,Account Takeover,587,0.9387,0.9387,Reliable sample size (>= 20)
random_forest_full_none,modus_operandi,Card Fraud,505,0.9208,0.9208,Reliable sample size (>= 20)
random_forest_full_none,modus_operandi,Identity Theft,236,0.9492,0.9492,Reliable sample size (>= 20)
random_forest_full_none,modus_operandi,Investment Scam,323,0.9226,0.9226,Reliable sample size (>= 20)
random_forest_full_none,modus_operandi,Loan Scam,235,0.9149,0.9149,Reliable sample size (>= 20)
random_forest_full_none,modus_operandi,Phishing,537,0.9106,0.9106,Reliable sample size (>= 20)
random_forest_full_none,modus_operandi,Remote Access,305,0.9213,0.9213,Reliable sample size (>= 20)
random_forest_full_none,modus_operandi,SIM Swap,337,0.8961,0.8961,Reliable sample size (>= 20)
random_forest_full_none,modus_operandi,UPI Fraud,935,0.9294,0.9294,Reliable sample size (>= 20)
