experiment_id,start_time,end_time,duration,model,feature_set,class_weight,status,error_message
logistic_full_none,2026-09-24 10:02:01,2026-09-24 10:02:05,3.35,Logistic Regression,full,None,SUCCESS,
logistic_full_balanced,2026-09-24 10:02:06,2026-09-24 10:02:08,2.47,Logistic Regression,full,balanced,SUCCESS,
logistic_blind_none,2026-09-24 10:02:09,2026-09-24 10:02:11,2.52,Logistic Regression,geographic_blind,None,SUCCESS,
logistic_blind_balanced,2026-09-24 10:02:12,2026-09-24 10:02:14,2.11,Logistic Regression,geographic_blind,balanced,SUCCESS,
knn_full,2026-09-24 10:02:15,2026-09-24 10:02:18,2.99,K-Nearest Neighbors,full,NOT_SUPPORTED,SUCCESS,
knn_blind,2026-09-24 10:02:19,2026-09-24 10:02:20,1.31,K-Nearest Neighbors,geographic_blind,NOT_SUPPORTED,SUCCESS,
decision_tree_full_none,2026-09-24 10:02:21,2026-09-24 10:02:22,1.23,Decision Tree,full,None,SUCCESS,
decision_tree_full_balanced,2026-09-24 10:02:23,2026-09-24 10:02:25,1.81,Decision Tree,full,balanced,SUCCESS,
decision_tree_blind_none,2026-09-24 10:02:26,2026-09-24 10:02:27,1.21,Decision Tree,geographic_blind,None,SUCCESS,
decision_tree_blind_balanced,2026-09-24 10:02:28,2026-09-24 10:02:30,1.49,Decision Tree,geographic_blind,balanced,SUCCESS,
random_forest_full_none,2026-09-24 10:02:31,2026-09-24 10:02:33,2.67,Random Forest,full,None,SUCCESS,
random_forest_full_balanced,2026-09-24 10:02:34,2026-09-24 10:02:37,2.54,Random Forest,full,balanced,SUCCESS,
random_forest_blind_none,2026-09-24 10:02:38,2026-09-24 10:02:40,2.62,Random Forest,geographic_blind,None,SUCCESS,
random_forest_blind_balanced,2026-09-24 10:02:41,2026-09-24 10:02:44,2.55,Random Forest,geographic_blind,balanced,SUCCESS,
