withdrawal_zone,min_latitude,max_latitude,min_longitude,max_longitude,lat_span,lon_span
Zone_01,31.521803,31.75286,74.719119,75.015382,0.231057,0.296263
Zone_02,31.215852,31.433353,75.449404,75.736307,0.217501,0.286903
Zone_03,30.790792,31.009456,75.694675,76.078307,0.218664,0.383632
Zone_04,30.233819,30.855,76.249436,77.004097,0.621181,0.754661
Zone_05,29.288398,29.494809,76.810282,77.115219,0.206411,0.304937
Zone_06,28.575014,29.080343,77.34636,77.851241,0.505329,0.504881
Zone_07,28.277694,28.778598,76.97767,77.594025,0.500904,0.616355
Zone_08,28.308463,28.777695,76.854727,77.480025,0.469232,0.625298
Zone_09,27.473312,27.633166,76.521785,76.756983,0.159854,0.235198
Zone_10,26.812583,27.03263,75.644951,75.937192,0.220047,0.292241
