,Zone_01,Zone_02,Zone_03,Zone_04,Zone_05,Zone_06,Zone_07,Zone_08,Zone_09,Zone_10
Zone_01,0.0,75.355,124.397,213.542,320.089,401.644,417.332,407.977,484.74,532.499
Zone_02,75.355,0.0,54.23,139.8,252.867,331.781,352.223,344.887,431.626,491.01
Zone_03,124.397,54.23,0.0,89.924,198.702,278.289,297.993,290.772,379.683,443.467
Zone_04,213.542,139.8,89.924,0.0,124.285,195.342,224.03,221.126,325.073,405.377
Zone_05,320.089,252.867,198.702,124.285,0.0,84.836,100.334,96.957,206.833,298.794
Zone_06,401.644,331.781,278.289,195.342,84.836,0.0,56.544,72.443,187.884,294.984
Zone_07,417.332,352.223,297.993,224.03,100.334,56.544,0.0,21.057,131.415,238.585
Zone_08,407.977,344.887,290.772,221.126,96.957,72.443,21.057,0.0,119.314,223.639
Zone_09,484.74,431.626,379.683,325.073,206.833,187.884,131.415,119.314,0.0,110.049
Zone_10,532.499,491.01,443.467,405.377,298.794,294.984,238.585,223.639,110.049,0.0
