,Zone_01,Zone_02,Zone_03,Zone_04,Zone_05,Zone_06,Zone_07,Zone_08,Zone_09,Zone_10
Zone_01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zone_02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zone_03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zone_04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Zone_05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Zone_06,0.0,0.0,0.0,0.0,0.0,1.0,0.0982,0.052,0.0,0.0
Zone_07,0.0,0.0,0.0,0.0,0.0,0.0982,1.0,0.6433,0.0,0.0
Zone_08,0.0,0.0,0.0,0.0,0.0,0.052,0.6433,1.0,0.0,0.0
Zone_09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Zone_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
