withdrawal_zone,nearest_neighbor_zone,distance_to_nearest_km,min_distance_to_other_km,max_distance_to_other_km,mean_distance_to_others_km
Zone_01,Zone_02,75.36,75.36,532.5,330.84
Zone_02,Zone_03,54.23,54.23,491.01,274.86
Zone_03,Zone_02,54.23,54.23,443.47,239.72
Zone_04,Zone_03,89.92,89.92,405.38,215.39
Zone_05,Zone_06,84.84,84.84,320.09,187.08
Zone_06,Zone_07,56.54,56.54,401.64,211.53
Zone_07,Zone_08,21.06,21.06,417.33,204.39
Zone_08,Zone_07,21.06,21.06,407.98,199.8
Zone_09,Zone_10,110.05,110.05,484.74,264.07
Zone_10,Zone_09,110.05,110.05,532.5,337.6
