withdrawal_zone,complaint_count,percentage,cumulative_percentage,min_latitude,max_latitude,min_longitude,max_longitude,centroid_latitude,centroid_longitude,rank
Zone_01,1241,6.205,85.015,31.521803,31.75286,74.719119,75.015382,31.634329,74.870129,6
Zone_02,1577,7.885,78.81,31.215852,31.433353,75.449404,75.736307,31.324763,75.577009,5
Zone_03,1818,9.09,70.925,30.790792,31.009456,75.694675,76.078307,30.900601,75.85816,4
Zone_04,2592,12.96,61.835,30.233819,30.855,76.249436,77.004097,30.47759,76.65967,3
Zone_05,764,3.82,98.84,29.288398,29.494809,76.810282,77.115219,29.391692,76.965274,9
Zone_06,841,4.205,95.02,28.575014,29.080343,77.34636,77.851241,28.965979,77.690434,8
Zone_07,5436,27.18,27.18,28.277694,28.778598,76.97767,77.594025,28.554406,77.349756,1
Zone_08,4339,21.695,48.875,28.308463,28.777695,76.854727,77.480025,28.532572,77.135619,2
Zone_09,232,1.16,100.0,27.473312,27.633166,76.521785,76.756983,27.554209,76.636352,10
Zone_10,1160,5.8,90.815,26.812583,27.03263,75.644951,75.937192,26.912877,75.788582,7
